account,session,url,reel_like_count,reel_comment_count,reel_duration,watch_time_seconds,watch_time_percentage,liked,positive_comment,followed,shared,saved,visited_profile,negative_comment,not_interested,datetime
minesweeper_enthusiast,0,reels/C9-VqyesO_S/,1,1,12.233333,6.1166665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:50:28
minesweeper_enthusiast,0,reels/C95XPBwNcO0/,1,1,26.212471,13.1062355,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:50:41
minesweeper_enthusiast,0,reels/C-FpYayOoUv/,1,1,15.184398,7.592199,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:50:48
minesweeper_enthusiast,0,reels/C9KB0Juonjy/,1,1,21.825305,10.9126525,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:50:59
minesweeper_enthusiast,0,reels/C90mu-bSF8I/,1,1,8.716756,4.358378,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:51:02
minesweeper_enthusiast,0,reels/C99gRrZIV6a/,1,1,12.026484,6.013242,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:51:08
minesweeper_enthusiast,0,reels/C-AzWDpp02y/,1,1,8.055872,4.027936,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:51:12
minesweeper_enthusiast,0,reels/C9Fb6sus54o/,1,1,49.687845,24.8439225,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:51:36
minesweeper_enthusiast,0,reels/C97K1YuC_sB/,1,1,34.36666666666667,17.183333333333334,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:51:53
minesweeper_enthusiast,0,reels/C9vj8g-BoeE/,1,1,5.433333,2.7166665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:51:55
minesweeper_enthusiast,0,reels/C8cs38gJwFh/,1,1,27.7,13.85,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:52:09
minesweeper_enthusiast,0,reels/C93oDKMsJZ-/,1,1,8.366666,4.183333,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:52:12
minesweeper_enthusiast,0,reels/C90SIIryikl/,1,1,1.033333,0.5166665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:52:14
minesweeper_enthusiast,0,reels/C8LeHEdtFFN/,1,1,53.07941,26.539705,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:52:40
minesweeper_enthusiast,0,reels/C9lGg4cSbY2/,1,1,7.718266,3.859133,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:52:44
